time_step,simulation_time,total_cells,total_G_phenotype_count,total_P_phenotype_count,frontier_cell_count,frontier_G_phenotype_count,frontier_P_phenotype_count,fraction_P_on_frontier,max_colony_radius_cartesian,observed_interfaces_frontier,fmi_frontier,fmi_random_baseline_frontier
0,0.00,37,20,17,18,10,8,0.4444,51.96,14,0.8571,0.5294
100,100.00,343,335,8,76,75,1,0.0132,190.53,2,0.0000,0.0000
200,200.00,1013,996,17,127,124,3,0.0236,316.07,6,1.0000,0.9762
300,300.00,1998,1964,34,178,174,4,0.0225,454.31,8,1.0000,0.9774
400,400.00,3326,3266,60,235,231,4,0.0170,567.89,6,0.6667,0.9829
500,500.00,5038,4950,88,289,287,2,0.0069,684.32,4,1.0000,0.9931
600,600.00,7140,7016,124,355,354,1,0.0028,805.17,2,0.0000,0.0000
700,700.00,9584,9383,201,402,395,7,0.0174,929.68,14,1.0000,0.9825
800,800.00,12414,12162,252,462,458,4,0.0087,1056.98,6,0.6667,0.9913
900,900.00,15610,15306,304,512,508,4,0.0078,1171.54,8,1.0000,0.9922
999,999.00,19120,18785,335,569,559,10,0.0176,1290.00,20,1.0000,0.9824
