2025-05-27 19:04:34,775 - sim.ProbSweep_W10_P0.1_Rep2 - INFO - simulation_engine:37 - Initializing SimulationEngine for experiment: ProbSweep_W10_P0.1_Rep2
2025-05-27 19:04:34,776 - sim.ProbSweep_W10_P0.1_Rep2 - INFO - simulation_engine:70 - Visualization disabled.
2025-05-27 19:04:34,776 - sim.ProbSweep_W10_P0.1_Rep2 - INFO - simulation_engine:202 - Starting simulation: ProbSweep_W10_P0.1_Rep2
2025-05-27 19:04:34,777 - sim.ProbSweep_W10_P0.1_Rep2 - INFO - simulation_engine:204 - Colony initialized: 5 cells.
2025-05-27 19:04:34,778 - sim.ProbSweep_W10_P0.1_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=0.00: Cells=5, MaxR=1.73, Pheno={'G_SPECIALIST': 5, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:04:34,778 - sim.ProbSweep_W10_P0.1_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=1.00: Cells=6, MaxR=3.00, Pheno={'G_SPECIALIST': 6, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:04:34,779 - sim.ProbSweep_W10_P0.1_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=2.00: Cells=9, MaxR=3.46, Pheno={'G_SPECIALIST': 9, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:04:34,781 - sim.ProbSweep_W10_P0.1_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=3.00: Cells=13, MaxR=4.58, Pheno={'G_SPECIALIST': 13, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:04:34,782 - sim.ProbSweep_W10_P0.1_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=4.00: Cells=19, MaxR=6.24, Pheno={'G_SPECIALIST': 19, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:04:34,784 - sim.ProbSweep_W10_P0.1_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=5.00: Cells=27, MaxR=7.55, Pheno={'G_SPECIALIST': 27, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:04:34,786 - sim.ProbSweep_W10_P0.1_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=6.00: Cells=34, MaxR=9.17, Pheno={'G_SPECIALIST': 34, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:04:34,789 - sim.ProbSweep_W10_P0.1_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=7.00: Cells=38, MaxR=9.17, Pheno={'G_SPECIALIST': 38, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:04:34,793 - sim.ProbSweep_W10_P0.1_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=8.00: Cells=49, MaxR=9.17, Pheno={'G_SPECIALIST': 49, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:04:34,797 - sim.ProbSweep_W10_P0.1_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=9.00: Cells=56, MaxR=9.17, Pheno={'G_SPECIALIST': 56, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:04:34,801 - sim.ProbSweep_W10_P0.1_Rep2 - INFO - simulation_engine:218 - Progress: T=10.00, Cells=63
2025-05-27 19:04:34,801 - sim.ProbSweep_W10_P0.1_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=10.00: Cells=65, MaxR=9.64, Pheno={'G_SPECIALIST': 65, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:04:34,808 - sim.ProbSweep_W10_P0.1_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=11.00: Cells=74, MaxR=9.64, Pheno={'G_SPECIALIST': 74, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:04:34,812 - sim.ProbSweep_W10_P0.1_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=12.00: Cells=82, MaxR=12.49, Pheno={'G_SPECIALIST': 82, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:04:34,820 - sim.ProbSweep_W10_P0.1_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=13.00: Cells=89, MaxR=13.75, Pheno={'G_SPECIALIST': 89, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:04:34,826 - sim.ProbSweep_W10_P0.1_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=14.00: Cells=97, MaxR=13.86, Pheno={'G_SPECIALIST': 97, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:04:34,835 - sim.ProbSweep_W10_P0.1_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=15.00: Cells=118, MaxR=15.39, Pheno={'G_SPECIALIST': 118, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:04:34,844 - sim.ProbSweep_W10_P0.1_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=16.00: Cells=128, MaxR=15.39, Pheno={'G_SPECIALIST': 128, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:04:34,854 - sim.ProbSweep_W10_P0.1_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=17.00: Cells=145, MaxR=15.39, Pheno={'G_SPECIALIST': 145, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:04:34,864 - sim.ProbSweep_W10_P0.1_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=18.00: Cells=155, MaxR=15.59, Pheno={'G_SPECIALIST': 155, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:04:34,876 - sim.ProbSweep_W10_P0.1_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=19.00: Cells=169, MaxR=15.59, Pheno={'G_SPECIALIST': 169, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:04:34,886 - sim.ProbSweep_W10_P0.1_Rep2 - INFO - simulation_engine:218 - Progress: T=20.00, Cells=194
2025-05-27 19:04:34,889 - sim.ProbSweep_W10_P0.1_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=20.00: Cells=195, MaxR=15.59, Pheno={'G_SPECIALIST': 195, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:04:34,903 - sim.ProbSweep_W10_P0.1_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=21.00: Cells=212, MaxR=16.52, Pheno={'G_SPECIALIST': 212, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
