2025-05-27 18:51:58,676 - sim.ResponsiveHG_W40_Rep3 - INFO - simulation_engine:37 - Initializing SimulationEngine for experiment: ResponsiveHG_W40_Rep3
2025-05-27 18:51:58,678 - sim.ResponsiveHG_W40_Rep3 - INFO - simulation_engine:70 - Visualization disabled.
2025-05-27 18:51:58,678 - sim.ResponsiveHG_W40_Rep3 - INFO - simulation_engine:202 - Starting simulation: ResponsiveHG_W40_Rep3
2025-05-27 18:51:58,678 - sim.ResponsiveHG_W40_Rep3 - INFO - simulation_engine:204 - Colony initialized: 5 cells.
2025-05-27 18:51:58,679 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=0.00: Cells=5, MaxR=1.73, Pheno={'G_SPECIALIST': 5, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:58,680 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=1.00: Cells=7, MaxR=3.00, Pheno={'G_SPECIALIST': 7, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:58,682 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=2.00: Cells=8, MaxR=4.58, Pheno={'G_SPECIALIST': 8, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:58,683 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=3.00: Cells=10, MaxR=4.58, Pheno={'G_SPECIALIST': 10, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:58,685 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=4.00: Cells=14, MaxR=4.58, Pheno={'G_SPECIALIST': 14, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:58,686 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=5.00: Cells=17, MaxR=6.00, Pheno={'G_SPECIALIST': 17, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:58,688 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=6.00: Cells=24, MaxR=6.93, Pheno={'G_SPECIALIST': 24, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:58,691 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=7.00: Cells=29, MaxR=8.66, Pheno={'G_SPECIALIST': 29, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:58,694 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=8.00: Cells=33, MaxR=8.66, Pheno={'G_SPECIALIST': 33, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:58,696 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=9.00: Cells=34, MaxR=8.66, Pheno={'G_SPECIALIST': 34, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:58,697 - sim.ResponsiveHG_W40_Rep3 - INFO - simulation_engine:218 - Progress: T=10.00, Cells=36
