2025-05-27 18:42:23,984 - sim.ResponsiveLL_W10_Rep3 - INFO - simulation_engine:37 - Initializing SimulationEngine for experiment: ResponsiveLL_W10_Rep3
2025-05-27 18:42:23,985 - sim.ResponsiveLL_W10_Rep3 - INFO - simulation_engine:70 - Visualization disabled.
2025-05-27 18:42:23,985 - sim.ResponsiveLL_W10_Rep3 - INFO - simulation_engine:202 - Starting simulation: ResponsiveLL_W10_Rep3
2025-05-27 18:42:23,986 - sim.ResponsiveLL_W10_Rep3 - INFO - simulation_engine:204 - Colony initialized: 5 cells.
2025-05-27 18:42:23,987 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=0.00: Cells=5, MaxR=1.73, Pheno={'G_SPECIALIST': 5, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:23,988 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=1.00: Cells=5, MaxR=1.73, Pheno={'G_SPECIALIST': 5, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:23,989 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=2.00: Cells=5, MaxR=1.73, Pheno={'G_SPECIALIST': 5, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:23,990 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=3.00: Cells=5, MaxR=1.73, Pheno={'G_SPECIALIST': 5, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:23,991 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=4.00: Cells=5, MaxR=1.73, Pheno={'G_SPECIALIST': 5, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:23,991 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=5.00: Cells=5, MaxR=1.73, Pheno={'G_SPECIALIST': 5, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:23,992 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=6.00: Cells=5, MaxR=1.73, Pheno={'G_SPECIALIST': 5, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:23,993 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=7.00: Cells=6, MaxR=3.46, Pheno={'G_SPECIALIST': 6, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:23,994 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=8.00: Cells=6, MaxR=3.46, Pheno={'G_SPECIALIST': 6, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:23,995 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=9.00: Cells=8, MaxR=3.46, Pheno={'G_SPECIALIST': 8, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:23,995 - sim.ResponsiveLL_W10_Rep3 - INFO - simulation_engine:218 - Progress: T=10.00, Cells=9
2025-05-27 18:42:23,996 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=10.00: Cells=9, MaxR=3.46, Pheno={'G_SPECIALIST': 9, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
