2025-05-27 19:44:41,821 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3 - INFO - simulation_engine:37 - Initializing SimulationEngine for experiment: TraitDistinct_HighDistinct_W40_P0.5_Rep3
2025-05-27 19:44:41,823 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3 - INFO - simulation_engine:70 - Visualization disabled.
2025-05-27 19:44:41,823 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3 - INFO - simulation_engine:202 - Starting simulation: TraitDistinct_HighDistinct_W40_P0.5_Rep3
2025-05-27 19:44:41,823 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3 - INFO - simulation_engine:204 - Colony initialized: 5 cells.
2025-05-27 19:44:41,824 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=0.00: Cells=5, MaxR=1.73, Pheno={'G_SPECIALIST': 5, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:41,825 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=1.00: Cells=6, MaxR=3.46, Pheno={'G_SPECIALIST': 6, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:41,825 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=2.00: Cells=9, MaxR=4.58, Pheno={'G_SPECIALIST': 9, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:41,827 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=3.00: Cells=10, MaxR=5.20, Pheno={'G_SPECIALIST': 10, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:41,829 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=4.00: Cells=15, MaxR=6.93, Pheno={'G_SPECIALIST': 15, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:41,830 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=5.00: Cells=19, MaxR=6.93, Pheno={'G_SPECIALIST': 19, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:41,831 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=6.00: Cells=22, MaxR=6.93, Pheno={'G_SPECIALIST': 22, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:41,834 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=7.00: Cells=29, MaxR=7.94, Pheno={'G_SPECIALIST': 29, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:41,837 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=8.00: Cells=35, MaxR=7.94, Pheno={'G_SPECIALIST': 35, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:41,839 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=9.00: Cells=40, MaxR=9.64, Pheno={'G_SPECIALIST': 40, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:41,841 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3 - INFO - simulation_engine:218 - Progress: T=10.00, Cells=51
2025-05-27 19:44:41,843 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=10.00: Cells=52, MaxR=9.64, Pheno={'G_SPECIALIST': 52, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:41,847 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=11.00: Cells=58, MaxR=10.39, Pheno={'G_SPECIALIST': 58, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:41,851 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=12.00: Cells=67, MaxR=12.12, Pheno={'G_SPECIALIST': 67, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:41,858 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=13.00: Cells=74, MaxR=14.18, Pheno={'G_SPECIALIST': 74, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:41,863 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=14.00: Cells=84, MaxR=14.18, Pheno={'G_SPECIALIST': 84, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:41,868 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=15.00: Cells=93, MaxR=14.18, Pheno={'G_SPECIALIST': 93, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:41,877 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=16.00: Cells=107, MaxR=14.80, Pheno={'G_SPECIALIST': 107, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:41,885 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=17.00: Cells=121, MaxR=17.32, Pheno={'G_SPECIALIST': 121, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:41,894 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=18.00: Cells=136, MaxR=17.32, Pheno={'G_SPECIALIST': 136, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:41,903 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=19.00: Cells=155, MaxR=18.25, Pheno={'G_SPECIALIST': 155, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:41,914 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3 - INFO - simulation_engine:218 - Progress: T=20.00, Cells=172
2025-05-27 19:44:41,916 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=20.00: Cells=176, MaxR=18.25, Pheno={'G_SPECIALIST': 176, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:41,928 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=21.00: Cells=193, MaxR=18.33, Pheno={'G_SPECIALIST': 193, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:41,942 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=22.00: Cells=211, MaxR=19.97, Pheno={'G_SPECIALIST': 211, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:41,956 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=23.00: Cells=229, MaxR=19.97, Pheno={'G_SPECIALIST': 229, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:41,972 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=24.00: Cells=247, MaxR=20.42, Pheno={'G_SPECIALIST': 247, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:41,988 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=25.00: Cells=258, MaxR=21.00, Pheno={'G_SPECIALIST': 258, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:42,005 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=26.00: Cells=272, MaxR=21.00, Pheno={'G_SPECIALIST': 272, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:42,025 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=27.00: Cells=298, MaxR=21.28, Pheno={'G_SPECIALIST': 298, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:42,045 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=28.00: Cells=327, MaxR=22.91, Pheno={'G_SPECIALIST': 327, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:42,067 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=29.00: Cells=349, MaxR=22.91, Pheno={'G_SPECIALIST': 349, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:42,087 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3 - INFO - simulation_engine:218 - Progress: T=30.00, Cells=379
2025-05-27 19:44:42,091 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=30.00: Cells=385, MaxR=25.87, Pheno={'G_SPECIALIST': 385, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:42,117 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=31.00: Cells=407, MaxR=27.87, Pheno={'G_SPECIALIST': 407, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:42,144 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=32.00: Cells=436, MaxR=29.55, Pheno={'G_SPECIALIST': 436, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:42,172 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=33.00: Cells=468, MaxR=29.55, Pheno={'G_SPECIALIST': 468, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:42,205 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=34.00: Cells=505, MaxR=31.22, Pheno={'G_SPECIALIST': 505, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:42,239 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=35.00: Cells=542, MaxR=31.22, Pheno={'G_SPECIALIST': 542, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:42,275 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=36.00: Cells=572, MaxR=32.91, Pheno={'G_SPECIALIST': 572, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:42,314 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=37.00: Cells=618, MaxR=34.60, Pheno={'G_SPECIALIST': 618, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:42,354 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=38.00: Cells=653, MaxR=34.60, Pheno={'G_SPECIALIST': 653, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:42,398 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=39.00: Cells=694, MaxR=34.60, Pheno={'G_SPECIALIST': 694, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:42,435 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3 - INFO - simulation_engine:218 - Progress: T=40.00, Cells=726
2025-05-27 19:44:42,443 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=40.00: Cells=730, MaxR=34.60, Pheno={'G_SPECIALIST': 730, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:42,493 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=41.00: Cells=771, MaxR=37.03, Pheno={'G_SPECIALIST': 771, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:42,545 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=42.00: Cells=813, MaxR=37.47, Pheno={'G_SPECIALIST': 813, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:42,598 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=43.00: Cells=860, MaxR=37.47, Pheno={'G_SPECIALIST': 860, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:42,653 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=44.00: Cells=894, MaxR=38.30, Pheno={'G_SPECIALIST': 894, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:42,709 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=45.00: Cells=924, MaxR=39.61, Pheno={'G_SPECIALIST': 924, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:42,770 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=46.00: Cells=958, MaxR=39.61, Pheno={'G_SPECIALIST': 958, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:42,832 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=47.00: Cells=998, MaxR=39.61, Pheno={'G_SPECIALIST': 998, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:42,896 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=48.00: Cells=1036, MaxR=39.61, Pheno={'G_SPECIALIST': 1036, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:44:42,964 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=49.00: Cells=1074, MaxR=40.73, Pheno={'G_SPECIALIST': 1073, 'SWITCHING_GL': 1, 'L_SPECIALIST': 0}
2025-05-27 19:44:43,024 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3 - INFO - simulation_engine:218 - Progress: T=50.00, Cells=1109
2025-05-27 19:44:43,036 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=50.00: Cells=1119, MaxR=40.95, Pheno={'G_SPECIALIST': 1116, 'SWITCHING_GL': 3, 'L_SPECIALIST': 0}
2025-05-27 19:44:43,109 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=51.00: Cells=1157, MaxR=40.95, Pheno={'G_SPECIALIST': 1152, 'SWITCHING_GL': 5, 'L_SPECIALIST': 0}
2025-05-27 19:44:43,185 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=52.00: Cells=1197, MaxR=40.95, Pheno={'G_SPECIALIST': 1192, 'SWITCHING_GL': 5, 'L_SPECIALIST': 0}
2025-05-27 19:44:43,261 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=53.00: Cells=1241, MaxR=40.95, Pheno={'G_SPECIALIST': 1234, 'SWITCHING_GL': 7, 'L_SPECIALIST': 0}
2025-05-27 19:44:43,341 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=54.00: Cells=1285, MaxR=40.95, Pheno={'G_SPECIALIST': 1276, 'SWITCHING_GL': 9, 'L_SPECIALIST': 0}
2025-05-27 19:44:43,425 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=55.00: Cells=1338, MaxR=40.95, Pheno={'G_SPECIALIST': 1329, 'SWITCHING_GL': 7, 'L_SPECIALIST': 2}
2025-05-27 19:44:43,515 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=56.00: Cells=1390, MaxR=40.95, Pheno={'G_SPECIALIST': 1380, 'SWITCHING_GL': 7, 'L_SPECIALIST': 3}
2025-05-27 19:44:43,606 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=57.00: Cells=1445, MaxR=40.95, Pheno={'G_SPECIALIST': 1434, 'SWITCHING_GL': 8, 'L_SPECIALIST': 3}
