time,total_cell_count,avg_radial_distance,max_radial_distance,min_radial_distance,std_dev_radial_distance,median_radial_distance,phenotype_counts_G_SPECIALIST,phenotype_counts_L_SPECIALIST,phenotype_counts_SWITCHING_GL,frontier_lag_G_to_L_count_at_transition_nutrient,frontier_lag_G_to_L_remaining_lag_times_at_transition,frontier_lag_G_to_L_avg_remaining_lag_at_transition,frontier_lag_G_to_L_inherent_T_lags_GL_at_transition,frontier_lag_G_to_L_avg_inherent_T_lag_at_transition,frontier_traits_count_frontier_cells,frontier_traits_frontier_inherent_growth_rates_G,frontier_traits_avg_frontier_growth_rate_G,frontier_traits_frontier_inherent_T_lags_GL,frontier_traits_avg_frontier_T_lag_GL
0.0,5,1.3856406460551018,1.7320508075688772,0.0,0.6928203230275508,1.7320508075688772,5,0,0,0,[],0.0,[],0.0,4,"[0.5, 0.5, 0.1, 0.5]",0.4,"[11.0, 11.0, 3.0, 11.0]",9.0
0.9999999999999999,7,1.846886175753644,3.0,0.0,0.9352677368135636,1.7320508075688772,7,0,0,0,[],0.0,[],0.0,2,"[0.1, 0.1]",0.1,"[3.0, 3.0]",3.0
2.0000000000000004,10,2.2856406460551018,3.4641016151377544,0.0,1.0372303683853537,2.3660254037844384,10,0,0,0,[],0.0,[],0.0,2,"[0.5, 0.1]",0.3,"[11.0, 3.0]",7.0
3.0000000000000013,12,2.3377132402714706,3.4641016151377544,0.0,1.0173970740372023,2.3660254037844384,12,0,0,0,[],0.0,[],0.0,3,"[0.5, 0.1, 0.1]",0.2333333333333333,"[11.0, 3.0, 3.0]",5.666666666666667
4.000000000000002,15,2.575675638547566,4.58257569495584,0.0,1.0797661807042245,3.0,15,0,0,0,[],0.0,[],0.0,1,[0.5],0.5,[11.0],11.0
4.999999999999998,18,2.751796487538558,4.58257569495584,0.0,1.194828896189933,3.0,18,0,0,0,[],0.0,[],0.0,3,"[0.5, 0.1, 0.1]",0.2333333333333333,"[11.0, 3.0, 3.0]",5.666666666666667
5.999999999999995,19,2.880446799915825,5.196152422706632,0.0,1.2846768675068891,3.0,19,0,0,0,[],0.0,[],0.0,1,[0.1],0.1,[3.0],3.0
6.999999999999991,20,2.9655532446678263,5.196152422706632,0.0,1.3059456164175174,3.0,20,0,0,0,[],0.0,[],0.0,1,[0.1],0.1,[3.0],3.0
7.999999999999988,23,3.1278399086263455,5.196152422706632,0.0,1.3018749462100996,3.0,23,0,0,0,[],0.0,[],0.0,1,[0.1],0.1,[3.0],3.0
8.999999999999984,26,3.2557468273823886,6.244997998398398,0.0,1.3644233424886765,3.232050807568877,26,0,0,0,[],0.0,[],0.0,1,[0.1],0.1,[3.0],3.0
